name, link, rating, num_reviews, price, cuisine, district, num_bookings
Burma Love, https://www.opentable.com/r/burma-love-san-francisco, 4.8, 7, $$, Burmese, Mission, 35
Nakama Sushi - San Francisco, https://www.opentable.com/r/nakama-sushi-san-francisco, 4.7, 94, $$$, Sushi, Civic Center / Hayes Valley / Van Ness, 17
Mr, https://www.opentable.com/r/mr-digbys-san-francisco, 4.4, 26, $$$, American, Noe Valley, 28
Otoro Sushi, https://www.opentable.com/otoro-sushi, 4.7, 691, $$, Japanese, Civic Center / Hayes Valley / Van Ness, 0
Doppio Zero - San Francisco, https://www.opentable.com/r/doppio-zero-san-francisco, 4.6, 52, $$, Italian, Downtown / Union Square, 0
Sushi Ondo, https://www.opentable.com/r/sushi-ondo-san-francisco, 4.6, 88, $$$$, Japanese, SOMA, 0
Absinthe Brasserie and Bar - SF, https://www.opentable.com/absinthe-brasserie-and-bar, 4.6, 6431, $$$, French, Civic Center / Hayes Valley / Van Ness, 41
BAIA, https://www.opentable.com/r/baia-san-francisco, 4.6, 221, $$, Italian, Civic Center / Hayes Valley / Van Ness, 69
Il Borgo, https://www.opentable.com/r/il-borgo-san-francisco, 4.8, 497, $$, Italian, Civic Center / Hayes Valley / Van Ness, 8
Basil Canteen @ 11th Street, https://www.opentable.com/basil-canteen, 4.7, 413, $$, Thai, SOMA, 0
Sushi Shio, https://www.opentable.com/r/sushi-shio-san-francisco, 4.9, 83, $$$$, Japanese, Mission, 19
Mela Tandoori Kitchen, https://www.opentable.com/mela-tandoori-kitchen, 4.5, 446, $$, Indian, Civic Center / Hayes Valley / Van Ness, 5
Dancing Yak, https://www.opentable.com/r/dancing-yak-san-francisco, 4.5, 129, $$, Nepalese, Mission, 12
Charmaine's Rooftop Lounge, https://www.opentable.com/r/charmaines-rooftop-lounge-san-francisco, 4.5, 447, $$$, Californian, Downtown / Union Square, 76
Khamsa Restaurant, https://www.opentable.com/r/khamsa-restaurant-san-francisco, 4.6, 233, $$, Moroccan, Mission, 11
Chambers Eat + Drink, https://www.opentable.com/chambers-eat-and-drink, 4.5, 519, $$, Californian, Downtown / Union Square, 30
Clay Oven on Haight, https://www.opentable.com/clay-oven-on-haight, 4.0, 19, $$, Indian, Haight, 0
Indian Oven, https://www.opentable.com/r/indian-oven-san-francisco, 3.8, 77, $$, Indian, Haight, 1
Alamo Square Seafood Grill, https://www.opentable.com/alamo-square-seafood-grill, 4.8, 1466, $$, Seafood, Civic Center / Hayes Valley / Van Ness, 0
Montesacro SF, https://www.opentable.com/r/montesacro-pinseria-san-francisco, 4.8, 1326, $$, Pizzeria, SOMA, 36
Burma Love Downtown, https://www.opentable.com/r/burma-love-downtown-san-francisco, 4.8, 22, $$$, Burmese, SOMA, 23
Krua Thai - San Francisco, https://www.opentable.com/r/krua-thai-san-francisco, 4.3, 137, $$, Thai, Mission, 3
