name,link,rating,num_reviews,price,cuisine,district,num_bookings
Via Veneto - SF,https://www.opentable.com/r/via-veneto-sf-san-francisco,5,1,$$,Italian,Pacific Heights,0
Indie Wine & Beer Bar,https://www.opentable.com/r/indie-wine-and-beer-bar-san-francisco,5,2,$$,Wine Bar,North Beach,5
Firefly Restaurant,https://www.opentable.com/firefly-restaurant,5,2272,$$$,American,Noe Valley,8
Nob Hill Cafe,https://www.opentable.com/r/nob-hill-cafe-san-francisco,5,1,$$$,Italian,Nob Hill,0
Mission Bay Wine & Cheese,https://www.opentable.com/r/mission-bay-wine-and-cheese-114-channel-st,5,1,$$$,Wine Bar,Mission Bay / South Beach,2
Akiko's Restaurant & Sushi Bar,https://www.opentable.com/r/akikos-restaurant-and-sushi-bar-san-francisco,5,1298,$$$$,Japanese,Downtown / Union Square,0
Seven Hills,https://www.opentable.com/r/seven-hills-san-francisco,4.9,1581,$$$,Italian,Russian Hill,26
Frascati,https://www.opentable.com/r/frascati-san-francisco,4.9,1995,$$$,Italian,Russian Hill,7
Kitchen Istanbul,https://www.opentable.com/kitchen-istanbul,4.9,911,$$,Turkish,Richmond District,6
Sociale - San Francisco,https://www.opentable.com/r/sociale-san-francisco,4.9,1959,$$$,Italian,Presidio Heights,32
La Ciccia,https://www.opentable.com/la-ciccia,4.9,2506,$$,Italian,Noe Valley,17
Sushi Shio,https://www.opentable.com/r/sushi-shio-san-francisco,4.9,83,$$$$,Japanese,Mission,19
Maruya,https://www.opentable.com/maruya,4.9,234,$$$$,Japanese,Mission,11
Mission Bowling Club,https://www.opentable.com/r/mission-bowling-club-san-francisco,4.9,2,$$,American,Mission,14
Paprika,https://www.opentable.com/r/paprika-san-francisco,4.9,112,$$,Hungarian,Mission,0
Komaaj Kitchen,https://www.opentable.com/r/komaaj-kitchen-san-francisco,4.9,15,$$,Persian,Mission,18
Outer Orbit,https://www.opentable.com/r/outer-orbit-san-francisco,4.9,20,$$,Contemporary American,Mission,16
The Matterhorn Restaurant and Bakery,https://www.opentable.com/r/the-matterhorn-restaurant-and-bakery-san-francisco,4.9,113,$$,Swiss,Marina / Cow Hollow / Presidio,15
Terzo,https://www.opentable.com/r/terzo-san-francisco,4.9,1672,$$$,Mediterranean,Marina / Cow Hollow / Presidio,46
Kokkari Estiatorio,https://www.opentable.com/kokkari-estiatorio,4.9,6961,$$$,Mediterranean,Financial District / Embarcadero,79
O' by Claude Le Tohic,https://www.opentable.com/r/o-by-claude-le-tohic-san-francisco,4.9,22,$$$$,Contemporary French,Downtown / Union Square,0
House of Prime Rib,https://www.opentable.com/house-of-prime-rib,4.9,11548,$$$$,Steak,Civic Center / Hayes Valley / Van Ness,126
L'Ardoise,https://www.opentable.com/lardoise,4.9,2684,$$$,French,Castro,35
State Bird Provisions,https://www.opentable.com/r/state-bird-provisions-san-francisco,4.8,1686,$$$$,Californian,Western Addition,50
Montesacro SF,https://www.opentable.com/r/montesacro-pinseria-san-francisco,4.8,1326,$$,Pizzeria,SOMA,36
Burma Love Downtown,https://www.opentable.com/r/burma-love-downtown-san-francisco,4.8,22,$$$,Burmese,SOMA,23
Mathilde French Bistro,https://www.opentable.com/r/mathilde-french-bistro-san-francisco,4.8,2000,$$$$,French,SOMA,31
The Fly Trap,https://www.opentable.com/the-fly-trap,4.8,1168,$$,Contemporary American,SOMA,42
