name,link,rating,num_reviews,price,details,num_bookings,review_url
1. Burma Love,,,,,,,
2. Nakama Sushi - San Francisco,,,,,,,
3. Mr. Tipple's Recording Studio,,,,,,,
4. Otoro Sushi,,,,,,,
5. Doppio Zero - San Francisco,,,,,,,
6. Sushi Ondo,,,,,,,
7. Absinthe Brasserie and Bar - SF,,,,,,,
8. BAIA,,,,,,,
9. Il Borgo,,,,,,,
10. Basil Canteen @ 11th Street,,,,,,,
1. Sushi Shio,,,,,,,
2. Mela Tandoori Kitchen,,,,,,,
3. Dancing Yak,,,,,,,
4. Charmaine's Rooftop Lounge,,,,,,,
5. Khamsa Restaurant,,,,,,,
6. Chambers Eat + Drink,,,,,,,
7. Clay Oven on Haight,,,,,,,
8. Indian Oven,,,,,,,
9. Alamo Square Seafood Grill,,,,,,,
10. Montesacro SF,,,,,,,
1. Burma Love Downtown,,,,,,,
2. Krua Thai - San Francisco,,,,,,,
3. Blue Pea - Thai Bistro,,,,,,,
4. Maruya,,,,,,,
5. Uva Enoteca,,,,,,,
6. Mission Bowling Club,,,,,,,
7. Bellota,,,,,,,
8. Izakaya Hon,,,,,,,
9. Barnzu Korean Restaurant,,,,,,,
10. 54 Mint,,,,,,,
1. Burma Love,https://www.opentable.com/r/burma-love-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.8 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.8</div>",(7),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Burmese • Mission,Booked 32 times today,https://www.opentable.com/r/burma-love-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
2. Nakama Sushi - San Francisco,https://www.opentable.com/r/nakama-sushi-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.7 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.7</div>",(94),"$$$<span class=""_1s81GB3gesncA-230LO-_w"">$</span>",• Sushi • Civic Center / Hayes Valley / Van Ness,Booked 20 times today,https://www.opentable.com/r/nakama-sushi-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
3. Mr. Tipple's Recording Studio,https://www.opentable.com/r/mr-tipples-recording-studio-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00,"<div class=""_2IMP-CK1uNe12eCxaNLqbL"" aria-label=""4.7 stars""><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_1J28HXkF9OXU_OaZfUmxou _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div><div class=""_14TQM3HXE0NyIpx6aeIwn1 _2UvC6jGDOaDUaN4lDzrERj""><i class=""_2A9R7IBMmNo8l86RU1SUeg _2XDQgnHhhnZspJEFGbowSx"" aria-hidden=""true"" tab-index=""-1"" focusable=""no""></i></div></div><div class=""_2s6ofZ_eiTKuvNHV3mVnaG"">4.7</div>",(115),"$$<span class=""_1s81GB3gesncA-230LO-_w"">$$</span>",• Cocktail Bar • Civic Center / Hayes Valley / Van Ness,Booked 15 times today|Top experience,https://www.opentable.com/r/mr-tipples-recording-studio-san-francisco?corrid=6153ff75-ac29-40f6-9c61-13c78ecf7517&avt=eyJ2IjoyLCJtIjoxLCJwIjowLCJzIjowLCJuIjowfQ&p=2&sd=2021-06-10T18%3A30%3A00#reviews
